GPU_name,GPU_score,CPU_name,CPU_score,RAM_name,RAM_score,Disk,Disk_score,Class
GeForce RTX 3090,9.535700389105058,Intel Xeon Platinum 9282 Processor,8.369302325581394,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
GeForce RTX 3090,9.535700389105058,Intel Xeon Platinum 9242 Processor,7.658338870431893,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
GeForce RTX 3090,9.535700389105058,Intel Xeon W-3275 Processor,6.492790697674419,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
GeForce RTX 3090,9.535700389105058,Intel Xeon W-3275M Processor,6.492790697674419,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
GeForce RTX 3090,9.535700389105058,Intel Xeon W-3175X Processor,6.351860465116279,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
GeForce RTX 3090,9.535700389105058,Intel Xeon Platinum 8280L Processor,6.305813953488373,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
GeForce RTX 3090,9.535700389105058,Intel Xeon Platinum 8280 Processor,6.305813953488373,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
GeForce RTX 3090,9.535700389105058,Intel Xeon Platinum 8280M Processor,6.305813953488373,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
GeForce RTX 3090,9.535700389105058,Intel Xeon W-3265M Processor,6.2643853820598006,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
GeForce RTX 3090,9.535700389105058,Intel Xeon W-3265 Processor,6.2643853820598006,Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,10.0,Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,10.0,2.0
