Name,Capacity,Read MB/s,Write MB/s,PCI_ver
WD Black SN850 1TB SSD NVMe M.2 PCIe 4.0 sin Disipador Térmico,1000,7000,5300,4
Kioxia EXCERIA 500GB SSD NVMe M.2 2280,500,1700,1600,3.1
WD Black SN850 500GB SSD M.2 2280 3D NAND con Disipador Térmico,500,7000,4100,4
WD Black SN850 2TB SSD M.2 2280 3D NAND con Disipador Térmico,2000,7000,5100,4
Kioxia EXCERIA 480GB SSD SATA,480,555,5400,-
WD Black SN850 500GB SSD NVMe M.2 PCIe 4.0 sin Disipador Térmico,500,7000,4100,4
Kioxia EXCERIA 500GB SSD NVMe M.2 2280,500,1700,1600,3.1
Kioxia Exceria G2 Unidad SSD 1TB NVMe M.2 2280,1000,2100,1700,3
Kingston A400 SSD 240GB,240,500,350,-
Kioxia EXCERIA PLUS 500GB SSD NVMe M.2 2280,500,3400,2500,3.1
Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,1000,7300,6400,4
Kingston A400 SSD 480GB,480,500,450,-
Kingston NV1 Disco SSD 500GB PCIe NVMe,500,2100,1700,3
Samsung 980 SSD 1TB PCIe 3.0 NVMe M.2,1000,3500,3000,4
Kingston NV1 Disco SSD 1TB PCIe NVMe,1000,2100,1700,4
Samsung 980 PRO 2TB SSD PCIe 4.0 NVMe M.2 con Disipador de Calor,2000,7000,5000,4
Samsung 970 EVO Plus 1TB SSD NVMe M.2,1000,3500,3000,3
Samsung 980 Pro SSD 2TB PCIe 4.0 NVMe M.2,2000,7000,5100,4
Team Group Cardea Zero Z340 1TB PCIe M.2 Gaming SSD,1000,3400,3000,3
Nfortec Alcyon 256GB SSD M.2 NVMe,256,1950,1250,3
Kioxia Exceria G2 Unidad SSD 2TB NVMe M.2 2280,2000,2100,1700,3
SanDisk SSD Plus 1TB SATA III,1000,535,445,-
Kingston NV1 Disco SSD 250GB PCIe NVMe,250,2100,1700,3
Nfortec Alcyon X 256GB SSD M.2 NVMe,256,3400,1950,3
Nfortec Alcyon 512GB SSD M.2,512,500,500,-
Seagate FireCuda 510 500GB M.2 PCI Express 3.0 3D TLC NVMe,500,3450,2500,3
Samsung 980 Pro SSD 1TB PCIe NVMe M.2,1000,7000,5000,4
Crucial P2 500GB SSD M.2 2280 PCIe Gen3 x4 NVMe,500,2300,940,3
WD Green SN350 SSD 1TB M.2 NVMe,1000,3200,2500,3
Team Group T-Force Cardea C440 SSD 1TB M.2,1000,5000,4400,4
Kingston KC3000 SSD 512GB M.2 PCIe 4.0 NVMe,512,7000,3900,4
