Name,Frequency,CAS Latency,Memory(GB),Modules
Corsair Vengeance LPX DDR4 3200 PC4-25600 16GB 2X8GB CL16 Negro,3200,16,16,2
Kingston FURY Beast DDR4 2666 MHz 8GB CL16,2666,16,8,1
Corsair Vengeance RGB Pro Optimizado AMD DDR4 3200 16GB 2x8GB CL16,3200,16,16,2
Team Group T-Force Delta RGB DDR4 3600MHz PC4-28800 16GB 2x8GB CL18 Negro,3600,18,16,2
G.Skill Trident Z RGB DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2
Team Group Delta White RGB DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2
Kingston FURY Beast DDR4 2666MHz 16GB 2x8GB CL16,2666,16,16,2
Goodram IRDM Pro DDR4 3600MHz 8GB CL18,3600,18,8,1
Corsair Vengeance LPX DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2
Team Group Elite DDR4 2666MHz 16GB CL19,2666,19,16,1
Thermaltake Toughram Z-One RGB DDR4 3600 16GB 2x8GB CL18,3600,18,16,2
Kingston FURY Beast DDR4 3200 MHz 8GB CL16,3200,16,8,1
Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,4000,19,16,2
Corsair Vengeance LPX DDR4 3200MHz PC4-25600 8GB CL16 Negro,3200,16,8,1
Kingston FURY Beast DDR4 3200 MHz 16 GB CL16,3200,16,16,1
Kingston FURY Beast DDR4 3200 MHz 16GB 2x8GB CL16,3200,16,16,2
Team Group Elite DDR4 2400MHz 8GB CL16,2400,16,8,1
Kingston FURY Beast RGB DDR4 3200 MHz 8 GB CL16,3200,16,8,1
Team Group Elite SO-DIMM DDR4 2400 PC-19200 16GB CL16,2400,16,16,1
GoodRam SO-DIMM DDR4 2666 MHz 8GB CL19,2666,19,8,1
Crucial DDR4 2400 PC4-19200 8GB CL17,2444,17,8,1
Crucial CT8G4DFRA266 DDR4 2666MHz PC4-21300 8GB CL19,2666,19,8,1
GoodRam SODIMM DDR4 2400MHz 4GB CL17,2444,17,4,1
Corsair Vengeance RGB Pro SL DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2
Kingston FURY Beast DDR4 2666 MHz 4GB CL16,2666,16,4,1
Team Group Delta RGB DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2
Thermaltake Toughram XG RGB DDR4 3600 2x8GB 16GB CL18 Negro,3600,18,16,2
Team Group T-Force Night Hawk RGB Gen2 DDR4 3000 16GB 2x8GB CL16,3000,16,16,2
Corsair Vengeance LPX DDR4 2400 PC4-19200 16GB 2x8GB CL16,2400,16,16,2
Kingston FURY Beast DDR4 3600 MHz 16GB 2x8GB CL17,3600,17,16,2
Corsair Value Select DDR4 2133 PC4-17000 8GB CL15,2133,15,8,1
