Model,Family,Platform,# of CPU Cores,# of Threads,Base Clock,score
AMD Ryzen™ Threadripper™ 2990WX,AMD Ryzen™ Processors,Desktop,32.0,64.0,3.0,9.99999917012455
AMD Ryzen™ Threadripper™ 2970WX,AMD Ryzen™ Processors,Desktop,24.0,48.0,3.0,8.537343689846997
AMD Ryzen™ Threadripper™ 2950X,AMD Ryzen™ Processors,Desktop,16.0,32.0,3.5,7.766251084405167
AMD Ryzen™ 9 3950X,AMD Ryzen™ Processors,Desktop,16.0,32.0,3.5,7.766251084405167
AMD Ryzen™ Threadripper™ 1950X,AMD Ryzen™ Processors,Desktop,16.0,32.0,3.4,7.627938509438021
FX-9590,AMD FX-Series Processors,Desktop,8.0,8.0,4.7,7.5976826336639585
AMD Ryzen™ 9 3900X,AMD Ryzen™ Processors,Desktop,12.0,24.0,3.8,7.449861069167822
FX-9370,AMD FX-Series Processors,Desktop,8.0,8.0,4.4,7.182744908762526
AMD Ryzen™ Threadripper™ 2920X,AMD Ryzen™ Processors,Desktop,12.0,24.0,3.5,7.03492334426639
AMD Ryzen™ Threadripper™ 1920X,AMD Ryzen™ Processors,Desktop,12.0,24.0,3.5,7.03492334426639
AMD Ryzen™ 7 3800X,AMD Ryzen™ Processors,Desktop,8.0,16.0,3.9,6.8568459039961915
AMD Ryzen™ Threadripper™ 1900X,AMD Ryzen™ Processors,Desktop,8.0,16.0,3.8,6.718533329029047
FX-8350,AMD FX-Series Processors,Desktop,8.0,8.0,4.0,6.629494608893947
FX-8350 with Wraith cooler,AMD FX-Series Processors,Desktop,8.0,8.0,4.0,6.629494608893947
FX-8370 with Wraith cooler,AMD FX-Series Processors,Desktop,8.0,8.0,4.0,6.629494608893947
FX-8370,AMD FX-Series Processors,Desktop,8.0,8.0,4.0,6.629494608893947
AMD Ryzen™ 7 2700X,AMD Ryzen™ Processors,Desktop,8.0,16.0,3.7,6.5802207540619015
AMD Ryzen™ 7 3700X,AMD Ryzen™ Processors,Desktop,8.0,16.0,3.6,6.4419081790947565
AMD Ryzen™ 7 PRO 2700X,AMD Ryzen™ PRO Processors,Desktop,8.0,16.0,3.6,6.4419081790947565
AMD Ryzen™ 7 1800X,AMD Ryzen™ Processors,Desktop,8.0,16.0,3.6,6.4419081790947565
FX-4350,AMD FX-Series Processors,Desktop,4.0,4.0,4.2,6.357623953724154
FX-4170,AMD FX-Series Processors,Desktop,4.0,4.0,4.2,6.357623953724154
