Manufacturer,Class,Name,Year,Fab,Transistors (mln),Die size,Memory size,Memory speed,GFLOPS,TDP,score
Nvidia,Desktop,GeForce RTX 3090,2020,8,28000,628,24576,936.2,35580.0,350.0,9.535700389105058
Nvidia,Desktop,GeForce RTX 3080,2020,8,28000,628,10240,760.3,29770.0,320.0,7.483636549300857
AMD Radeon,Desktop,Radeon RX 6900 XT,2020,7,26800,536,16384,512.0,23040.0,300.0,6.104715520239368
AMD Radeon,Desktop,Radeon RX 6800 XT,2020,7,26800,536,16384,512.0,20740.0,300.0,5.619892586006654
Nvidia,Desktop,GeForce Titan V CEO Edition,2018,12,21100,815,32768,870.4,14899.2,250.0,5.487333416447399
Nvidia,Desktop,GeForce Titan RTX,2018,12,18600,754,24576,672.0,16312.0,250.0,5.21714506466493
Nvidia,Desktop,GeForce RTX 3070,2020,8,17400,392,8192,448.0,20310.0,220.0,5.0919949672246245
AMD Radeon,Desktop,Radeon Pro Duo,2016,28,17800,992,8192,1024.0,16384.0,350.0,4.8247345817940825
AMD Radeon,Desktop,Radeon VII,2019,7,13200,331,16384,1028.0,13824.0,300.0,4.663996627318719
AMD Radeon,Desktop,Radeon RX 6800,2020,7,26800,536,16384,512.0,16170.0,250.0,4.656570494944258
Nvidia,Desktop,GeForce Titan V,2017,12,21100,815,12288,652.8,14899.2,250.0,4.338160264696426
Nvidia,Desktop,GeForce RTX 2080 Ti,2018,12,18600,754,11264,616.0,13447.0,250.0,3.949374614503842
AMD Radeon,Desktop,Radeon RX Vega Liquid,2017,14,12500,486,8192,483.8,13738.0,345.0,3.7414910335234017
AMD Radeon,Desktop,Radeon RX Vega 64,2017,14,12500,486,8192,483.8,12665.0,295.0,3.515310595074835
Nvidia,Desktop,GeForce Titan Xp,2017,16,12000,471,12288,547.7,11366.4,250.0,3.4912348836293723
Nvidia,Desktop,GeForce GTX Titan Z,2014,28,14160,1122,12288,768.0,10092.0,375.0,3.43690043044337
AMD Radeon,Desktop,Radeon R9 295X2,2014,28,12400,876,8192,640.0,11466.75,500.0,3.414673911260425
Nvidia,Desktop,GeForce GTX 1080 Ti,2017,16,12000,471,11264,484.0,11339.7,250.0,3.376766741195924
Nvidia,Desktop,GeForce Titan X,2016,16,12000,471,12288,480.0,10974.2,250.0,3.342706002585285
