Processor,Status,Release Date,Cores,Max Turbo Speed,Base Speed,Cache Size,score
Intel Xeon Platinum 9282 Processor,Launched,Q2'19,56,3.8,2.6,77.0,8.369302325581394
Intel Xeon Platinum 9242 Processor,Launched,Q2'19,48,3.8,2.3,71.5,7.658338870431893
Intel Xeon W-3275 Processor,Launched,Q2'19,28,4.4,2.5,38.5,6.492790697674419
Intel Xeon W-3275M Processor,Launched,Q2'19,28,4.4,2.5,38.5,6.492790697674419
Intel Xeon W-3175X Processor,Launched,Q4'18,28,3.8,3.1,38.5,6.351860465116279
Intel Xeon Platinum 8280L Processor,Launched,Q2'19,28,4.0,2.7,38.5,6.305813953488373
Intel Xeon Platinum 8280 Processor,Launched,Q2'19,28,4.0,2.7,38.5,6.305813953488373
Intel Xeon Platinum 8280M Processor,Launched,Q2'19,28,4.0,2.7,38.5,6.305813953488373
Intel Xeon W-3265M Processor,Launched,Q2'19,24,4.4,2.7,33.0,6.2643853820598006
Intel Xeon W-3265 Processor,Launched,Q2'19,24,4.4,2.7,33.0,6.2643853820598006
Intel Xeon Platinum 8270 Processor,Launched,Q2'19,26,4.0,2.7,35.75,6.145099667774088
Intel Xeon Platinum 8276M Processor,Launched,Q2'19,28,4.0,2.2,38.5,6.073255813953489
Intel Xeon Platinum 8276L Processor,Launched,Q2'19,28,4.0,2.2,38.5,6.073255813953489
Intel Xeon Platinum 8276 Processor,Launched,Q2'19,28,4.0,2.2,38.5,6.073255813953489
Intel Xeon Platinum 8180 Processor,Launched,Q3'17,28,3.8,2.5,38.5,6.072790697674418
Intel Xeon Platinum 8268 Processor,Launched,Q2'19,24,3.9,2.9,35.75,6.04312292358804
Intel Xeon E-2288G Processor,Launched,Q2'19,8,5.0,3.7,16.0,5.928722440350347
Intel Core i9-9980XE Extreme Edition Processor,Launched,Q4'18,18,4.4,3.0,24.75,5.921777408637874
Intel Core i7-8086K Processor,Launched,Q2'18,6,5.0,4.0,12.0,5.891309272123225
Intel Xeon Platinum 8176F Processor,Launched,Q3'17,28,3.8,2.1,38.5,5.886744186046512
Intel Xeon Platinum 8176 Processor,Launched,Q3'17,28,3.8,2.1,38.5,5.886744186046512
Intel Core i9-9900KF Processor,Launched,Q1'19,8,5.0,3.6,16.0,5.88221081244337
Intel Core i9-9900K Processor,Launched,Q4'18,8,5.0,3.6,16.0,5.88221081244337
Intel Xeon W-3245 Processor,Launched,Q2'19,16,4.4,3.2,22.0,5.8540863787375415
Intel Xeon W-3245M Processor,Launched,Q2'19,16,4.4,3.2,22.0,5.8540863787375415
Intel Xeon E-2286G Processor,Launched,Q2'19,6,4.9,4.0,12.0,5.821309272123225
Intel Xeon Platinum 8260Y Processor,Launched,Q2'19,24,3.9,2.4,35.75,5.810564784053156
Intel Xeon Platinum 8260 Processor,Launched,Q2'19,24,3.9,2.4,35.75,5.810564784053156
Intel Xeon Platinum 8260M Processor,Launched,Q2'19,24,3.9,2.4,35.75,5.810564784053156
Intel Xeon Platinum 8260L Processor,Launched,Q2'19,24,3.9,2.4,35.75,5.810564784053156
Intel Core i9-9960X X-series Processor,Launched,Q4'18,16,4.4,3.1,22.0,5.8075747508305655
Intel Xeon E-2278G Processor,Launched,Q2'19,8,5.0,3.4,16.0,5.789187556629417
Intel Xeon Processor E7-8894 v4,Launched,Q1'17,24,3.4,2.4,60.0,5.77549984898822
Intel Xeon Platinum 8168 Processor,Launched,Q3'17,24,3.7,2.7,33.0,5.774385382059801
Intel Core i7-9700K Processor,Launched,Q4'18,8,4.9,3.6,12.0,5.760262760495319
Intel Core i7-9700KF Processor,Launched,Q1'19,8,4.9,3.6,12.0,5.760262760495319
Intel Core i9-9940X X-series Processor,Launched,Q4'18,14,4.4,3.3,19.25,5.739883720930232
Intel Xeon E-2276G Processor,Launched,Q2'19,6,4.9,3.8,12.0,5.728286016309272
Intel Xeon Processor E5-2699A v4,Launched,04'16,22,3.6,2.4,55.0,5.725564784053155
Intel Core i9-9920X X-series Processor,Launched,Q4'18,12,4.4,3.5,19.25,5.707906976744187
Intel Xeon Gold 6254 Processor,Launched,Q2'19,18,4.0,3.1,24.75,5.68828903654485
Intel Xeon Processor E7-8890 v4,Launched,Q2'16,24,3.4,2.2,60.0,5.682476593174267
Intel Xeon Platinum 8170 Processor,Launched,Q3'17,26,3.7,2.1,35.75,5.656029900332227
Intel Core i9-9900 Processor,Launched,Q2'19,8,5.0,3.1,16.0,5.649652672908488
Intel Xeon E-2274G Processor,Launched,Q2'19,4,4.9,4.0,8.0,5.644361220175174
Intel Xeon Processor E5-2699 v4,Launched,Q1'16,22,3.6,2.2,55.0,5.632541528239202
Intel Xeon Processor E5-2699R v4,Launched,04'16,22,3.6,2.2,55.0,5.632541528239202
Intel Xeon W-3235 Processor,Launched,Q2'19,12,4.4,3.3,19.25,5.614883720930233
Intel Xeon Platinum 8164 Processor,Launched,Q3'17,26,3.7,2.0,35.75,5.609518272425249
Intel Core i9-7980XE Extreme Edition Processor,Launched,Q3'17,18,4.2,2.6,24.75,5.595730897009966
Intel Xeon E-2186G Processor,Launched,Q3'18,6,4.7,3.8,12.0,5.588286016309272
Intel Core i9-9900X X-series Processor,Launched,Q4'18,10,4.4,3.5,19.25,5.582906976744186
Intel Core i9-7940X X-series Processor,Launched,Q3'17,14,4.3,3.1,19.25,5.576860465116279
Intel Xeon Gold 6244 Processor,Launched,Q2'19,8,4.4,3.6,24.75,5.575847176079734
Intel Xeon E-2246G Processor,Launched,Q2'19,6,4.8,3.6,12.0,5.565262760495319
Intel Core i7-9800X X-series Processor,Launched,Q4'18,8,4.4,3.8,16.5,5.561727574750831
Intel Xeon Gold 6252N Processor,Launched,Q2'19,24,3.6,2.3,35.75,5.554053156146179
Intel Xeon Gold 6246 Processor,Launched,Q2'19,12,4.2,3.3,24.75,5.546312292358804
Intel Core i7-8700K Processor,Launched,Q4'17,6,4.7,3.7,12.0,5.541774388402296
Intel Xeon E-2176G Processor,Launched,Q3'18,6,4.7,3.7,12.0,5.541774388402296
Intel Xeon E-2278GE Processor,Launched,Q2'19,8,4.7,3.3,16.0,5.5326759287224405
Intel Xeon Gold 6252 Processor,Launched,Q2'19,24,3.7,2.1,35.75,5.531029900332227
Intel Core i9-7960X X-series Processor,Launched,Q3'17,16,4.2,2.8,22.0,5.5280398671096345
Intel Xeon W-2195 Processor,Launched,Q3'17,18,4.3,2.3,24.75,5.526196013289036
Intel Xeon W-2145 Processor,Launched,Q3'17,8,4.5,3.7,11.0,5.513787375415282
Intel Core i7-7740X X-series Processor,Discontinued,Q2'17,4,4.5,4.3,8.0,5.503896103896104
Intel Xeon Gold 6248 Processor,Launched,Q2'19,20,3.9,2.5,27.5,5.499933554817275
Intel Xeon Gold 6146 Processor,Launched,Q3'17,12,4.2,3.2,24.75,5.499800664451827
Intel Xeon Platinum 8160 Processor,Launched,Q3'17,24,3.7,2.1,33.0,5.49531561461794
Intel Xeon Platinum 8160F Processor,Launched,Q3'17,24,3.7,2.1,33.0,5.49531561461794
Intel Xeon Platinum 8160T Processor,Launched,Q3'17,24,3.7,2.1,33.0,5.49531561461794
Intel Xeon W-2155 Processor,Launched,Q3'17,10,4.5,3.3,13.75,5.488455149501662
Intel Xeon E-2244G Processor,Launched,Q2'19,4,4.8,3.8,8.0,5.48133796436122
Intel Xeon E-2236 Processor,Launched,Q2'19,6,4.8,3.4,12.0,5.472239504681364
Intel Core i7-7700K Processor,Launched,Q1'17,4,4.5,4.2,8.0,5.4573844759891275
Intel Xeon W-3225 Processor,Launched,Q2'19,8,4.3,3.7,16.5,5.445215946843854
Intel Xeon Processor E5-2698 v4,Launched,Q1'16,20,3.6,2.2,50.0,5.442606463304138
Intel Core i5-9600KF Processor,Launched,Q1'19,6,4.6,3.7,9.0,5.432813349441256
Intel Core i5-9600K Processor,Launched,Q4'18,6,4.6,3.7,9.0,5.432813349441256
Intel Xeon Gold 5220S Processor,Launched,Q2'19,18,3.9,2.7,24.75,5.432242524916944
Intel Xeon Gold 6154 Processor,Launched,Q3'17,18,3.7,3.0,24.75,5.431777408637873
Intel Xeon Processor E7-8880 v4,Launched,Q2'16,22,3.3,2.2,55.0,5.422541528239202
Intel Xeon E-2174G Processor,Launched,Q3'18,4,4.7,3.8,8.0,5.41133796436122
Intel Xeon Processor E3-1285 v6,Launched,Q3'17,4,4.5,4.1,8.0,5.4108728480821515
Intel Xeon E-2226G Processor,Launched,Q2'19,6,4.7,3.4,12.0,5.402239504681365
Intel Xeon Gold 6144 Processor,Launched,Q3'17,8,4.2,3.5,24.75,5.389335548172757
Intel Xeon E-2234 Processor,Launched,Q2'19,4,4.8,3.6,8.0,5.388314708547267
Intel Xeon Gold 6240Y Processor,Launched,Q2'19,18,3.9,2.6,24.75,5.385730897009967
Intel Xeon Gold 6240M Processor,Launched,Q2'19,18,3.9,2.6,24.75,5.385730897009967
Intel Xeon Gold 6240 Processor,Launched,Q2'19,18,3.9,2.6,24.75,5.385730897009967
Intel Xeon Gold 6240L Processor,Launched,Q2'19,18,3.9,2.6,24.75,5.385730897009967
Intel Xeon W-2125 Processor,Launched,Q3'17,4,4.5,4.0,8.25,5.367607973421926
Intel Xeon W-2135 Processor,Launched,Q3'17,6,4.5,3.7,8.25,5.353073089700997
Intel Core i9-7900X X-series Processor,Launched,Q2'17,10,4.3,3.3,13.75,5.348455149501662
Intel Core i7-9700 Processor,Launched,Q2'19,8,4.7,3.0,12.0,5.3411929930534585
Intel Core i7-9700F Processor,Launched,Q2'19,8,4.7,3.0,12.0,5.3411929930534585
Intel Xeon Gold 6238M Processor,Launched,Q2'19,22,3.7,2.1,30.25,5.334601328903654
Intel Xeon Gold 6238L Processor,Launched,Q2'19,22,3.7,2.1,30.25,5.334601328903654
Intel Xeon Gold 6238 Processor,Launched,Q2'19,22,3.7,2.1,30.25,5.334601328903654
Intel Xeon Gold 6152 Processor,Launched,Q3'17,22,3.7,2.1,30.25,5.334601328903654
Intel Xeon Gold 6262V Processor,Launched,Q2'19,24,3.6,1.9,33.0,5.332292358803987
Intel Xeon E-2226GE Processor,Launched,Q2'19,6,4.6,3.4,12.0,5.332239504681365
Intel Core i7-7820X X-series Processor,Launched,Q2'17,8,4.3,3.6,11.0,5.327275747508305
Intel Xeon E-2286M Processor,Launched,Q2 '19,8,5.0,2.4,16.0,5.32407127755965
Intel Core i9-9980HK Processor,Launched,Q2'19,8,5.0,2.4,16.0,5.32407127755965
Intel Core i9-7920X X-series Processor,Launched,Q3'17,12,4.3,2.9,16.5,5.32312292358804
Intel Xeon Gold 6242 Processor,Launched,Q2'19,16,3.9,2.8,22.0,5.3180398671096345
Intel Xeon Gold 6230T Processor,Launched,Q2'19,20,3.9,2.1,27.5,5.313887043189368
Intel Xeon Gold 6230 Processor,Launched,Q2'19,20,3.9,2.1,27.5,5.313887043189368
Intel Xeon Gold 6148 Processor,Launched,Q3'17,20,3.7,2.4,27.5,5.313421926910299
Intel Xeon Gold 6148F Processor,Launched,Q3'17,20,3.7,2.4,27.5,5.313421926910299
Intel Xeon E-2146G Processor,Launched,Q3'18,6,4.5,3.5,12.0,5.308751132588342
Intel Xeon Processor E5-2697 v4,Launched,Q1'16,18,3.6,2.3,45.0,5.29918302627605
Intel Xeon Processor E5-2699 v3,Announced,Q3'14,18,3.6,2.3,45.0,5.29918302627605
Intel Xeon W-2175 Processor,Launched,Q4'17,14,4.3,2.5,19.0,5.294543944427664
